"ch_version","name","is_input","is_output"
"20.3.9.70","ODBCDriver2",0,1
"20.3.9.70","JSONCompact",0,1
"20.3.9.70","PrettyNoEscapes",0,1
"20.3.9.70","Pretty",0,1
"20.3.9.70","CustomSeparated",1,1
"20.3.9.70","TemplateIgnoreSpaces",1,0
"20.3.9.70","MySQLWire",0,1
"20.3.9.70","Template",1,1
"20.3.9.70","TabSeparatedWithNames",1,1
"20.3.9.70","JSONCompactEachRowWithNamesAndTypes",1,1
"20.3.9.70","Parquet",1,1
"20.3.9.70","RowBinary",1,1
"20.3.9.70","Protobuf",1,1
"20.3.9.70","CustomSeparatedIgnoreSpaces",1,0
"20.3.9.70","CSVWithNames",1,1
"20.3.9.70","PrettySpace",0,1
"20.3.9.70","TSV",1,1
"20.3.9.70","CSV",1,1
"20.3.9.70","ODBCDriver",0,1
"20.3.9.70","JSONCompactEachRow",1,1
"20.3.9.70","Values",1,1
"20.3.9.70","PrettyCompact",0,1
"20.3.9.70","ORC",1,0
"20.3.9.70","TSVRaw",0,1
"20.3.9.70","PrettyCompactNoEscapes",0,1
"20.3.9.70","JSONEachRowWithProgress",0,1
"20.3.9.70","AvroConfluent",1,0
"20.3.9.70","TabSeparated",1,1
"20.3.9.70","TabSeparatedWithNamesAndTypes",1,1
"20.3.9.70","Null",0,1
"20.3.9.70","TabSeparatedRaw",0,1
"20.3.9.70","TSVWithNames",1,1
"20.3.9.70","Avro",1,1
"20.3.9.70","RowBinaryWithNamesAndTypes",1,1
"20.3.9.70","XML",0,1
"20.3.9.70","JSON",0,1
"20.3.9.70","TSVWithNamesAndTypes",1,1
"20.3.9.70","Vertical",0,1
"20.3.9.70","PrettySpaceNoEscapes",0,1
"20.3.9.70","CapnProto",1,0
"20.3.9.70","JSONEachRow",1,1
"20.3.9.70","Native",1,1
"20.3.9.70","TSKV",1,1
