"ch_version","name","case_insensitive","alias_to"
"21.9.6.24","Polygon",0,""
"21.9.6.24","Ring",0,""
"21.9.6.24","Point",0,""
"21.9.6.24","SimpleAggregateFunction",0,""
"21.9.6.24","MultiPolygon",0,""
"21.9.6.24","IPv6",0,""
"21.9.6.24","IntervalSecond",0,""
"21.9.6.24","IPv4",0,""
"21.9.6.24","UInt32",0,""
"21.9.6.24","IntervalYear",0,""
"21.9.6.24","IntervalQuarter",0,""
"21.9.6.24","IntervalMonth",0,""
"21.9.6.24","Int64",0,""
"21.9.6.24","IntervalDay",0,""
"21.9.6.24","IntervalHour",0,""
"21.9.6.24","Int16",0,""
"21.9.6.24","UInt256",0,""
"21.9.6.24","LowCardinality",0,""
"21.9.6.24","AggregateFunction",0,""
"21.9.6.24","Nothing",0,""
"21.9.6.24","Decimal256",1,""
"21.9.6.24","Tuple",0,""
"21.9.6.24","Array",0,""
"21.9.6.24","Enum16",0,""
"21.9.6.24","IntervalMinute",0,""
"21.9.6.24","FixedString",0,""
"21.9.6.24","String",0,""
"21.9.6.24","DateTime",1,""
"21.9.6.24","Map",0,""
"21.9.6.24","UUID",0,""
"21.9.6.24","Decimal64",1,""
"21.9.6.24","Nullable",0,""
"21.9.6.24","Enum",1,""
"21.9.6.24","Int32",0,""
"21.9.6.24","UInt8",0,""
"21.9.6.24","Date",1,""
"21.9.6.24","Decimal32",1,""
"21.9.6.24","UInt128",0,""
"21.9.6.24","Float64",0,""
"21.9.6.24","Nested",0,""
"21.9.6.24","Int128",0,""
"21.9.6.24","Decimal128",1,""
"21.9.6.24","Int8",0,""
"21.9.6.24","Decimal",1,""
"21.9.6.24","Int256",0,""
"21.9.6.24","DateTime64",1,""
"21.9.6.24","Enum8",0,""
"21.9.6.24","DateTime32",1,""
"21.9.6.24","Date32",1,""
"21.9.6.24","IntervalWeek",0,""
"21.9.6.24","UInt64",0,""
"21.9.6.24","UInt16",0,""
"21.9.6.24","Float32",0,""
"21.9.6.24","INET6",1,"IPv6"
"21.9.6.24","INET4",1,"IPv4"
"21.9.6.24","ENUM",1,"Enum"
"21.9.6.24","BINARY",1,"FixedString"
"21.9.6.24","NATIONAL CHAR VARYING",1,"String"
"21.9.6.24","BINARY VARYING",1,"String"
"21.9.6.24","NCHAR LARGE OBJECT",1,"String"
"21.9.6.24","NATIONAL CHARACTER VARYING",1,"String"
"21.9.6.24","NATIONAL CHARACTER LARGE OBJECT",1,"String"
"21.9.6.24","NATIONAL CHARACTER",1,"String"
"21.9.6.24","NATIONAL CHAR",1,"String"
"21.9.6.24","CHARACTER VARYING",1,"String"
"21.9.6.24","LONGBLOB",1,"String"
"21.9.6.24","MEDIUMTEXT",1,"String"
"21.9.6.24","TEXT",1,"String"
"21.9.6.24","TINYBLOB",1,"String"
"21.9.6.24","VARCHAR2",1,"String"
"21.9.6.24","CHARACTER LARGE OBJECT",1,"String"
"21.9.6.24","DOUBLE PRECISION",1,"Float64"
"21.9.6.24","LONGTEXT",1,"String"
"21.9.6.24","NVARCHAR",1,"String"
"21.9.6.24","INT1 UNSIGNED",1,"UInt8"
"21.9.6.24","VARCHAR",1,"String"
"21.9.6.24","CHAR VARYING",1,"String"
"21.9.6.24","MEDIUMBLOB",1,"String"
"21.9.6.24","NCHAR",1,"String"
"21.9.6.24","CHAR",1,"String"
"21.9.6.24","SMALLINT UNSIGNED",1,"UInt16"
"21.9.6.24","TIMESTAMP",1,"DateTime"
"21.9.6.24","FIXED",1,"Decimal"
"21.9.6.24","TINYTEXT",1,"String"
"21.9.6.24","NUMERIC",1,"Decimal"
"21.9.6.24","DEC",1,"Decimal"
"21.9.6.24","TINYINT UNSIGNED",1,"UInt8"
"21.9.6.24","INTEGER UNSIGNED",1,"UInt32"
"21.9.6.24","INT UNSIGNED",1,"UInt32"
"21.9.6.24","CLOB",1,"String"
"21.9.6.24","MEDIUMINT UNSIGNED",1,"UInt32"
"21.9.6.24","BOOL",1,"Int8"
"21.9.6.24","SMALLINT",1,"Int16"
"21.9.6.24","INTEGER SIGNED",1,"Int32"
"21.9.6.24","NCHAR VARYING",1,"String"
"21.9.6.24","INT SIGNED",1,"Int32"
"21.9.6.24","TINYINT SIGNED",1,"Int8"
"21.9.6.24","BIGINT SIGNED",1,"Int64"
"21.9.6.24","BINARY LARGE OBJECT",1,"String"
"21.9.6.24","SMALLINT SIGNED",1,"Int16"
"21.9.6.24","MEDIUMINT",1,"Int32"
"21.9.6.24","INTEGER",1,"Int32"
"21.9.6.24","INT1 SIGNED",1,"Int8"
"21.9.6.24","BIGINT UNSIGNED",1,"UInt64"
"21.9.6.24","BYTEA",1,"String"
"21.9.6.24","INT",1,"Int32"
"21.9.6.24","SINGLE",1,"Float32"
"21.9.6.24","FLOAT",1,"Float32"
"21.9.6.24","MEDIUMINT SIGNED",1,"Int32"
"21.9.6.24","BOOLEAN",1,"Int8"
"21.9.6.24","DOUBLE",1,"Float64"
"21.9.6.24","INT1",1,"Int8"
"21.9.6.24","CHAR LARGE OBJECT",1,"String"
"21.9.6.24","TINYINT",1,"Int8"
"21.9.6.24","BIGINT",1,"Int64"
"21.9.6.24","CHARACTER",1,"String"
"21.9.6.24","BYTE",1,"Int8"
"21.9.6.24","BLOB",1,"String"
"21.9.6.24","REAL",1,"Float32"
