"ch_version","name","is_input","is_output"
"21.1.10.3.altinity+stable","CapnProto",1,0
"21.1.10.3.altinity+stable","PostgreSQLWire",0,1
"21.1.10.3.altinity+stable","MySQLWire",0,1
"21.1.10.3.altinity+stable","JSONStringsEachRowWithProgress",0,1
"21.1.10.3.altinity+stable","JSONEachRowWithProgress",0,1
"21.1.10.3.altinity+stable","JSONCompact",0,1
"21.1.10.3.altinity+stable","JSON",0,1
"21.1.10.3.altinity+stable","CSV",1,1
"21.1.10.3.altinity+stable","Vertical",0,1
"21.1.10.3.altinity+stable","ODBCDriver2",0,1
"21.1.10.3.altinity+stable","PrettySpaceNoEscapes",0,1
"21.1.10.3.altinity+stable","Pretty",0,1
"21.1.10.3.altinity+stable","JSONCompactStrings",0,1
"21.1.10.3.altinity+stable","PrettyNoEscapes",0,1
"21.1.10.3.altinity+stable","ArrowStream",1,1
"21.1.10.3.altinity+stable","TabSeparatedWithNames",1,1
"21.1.10.3.altinity+stable","Parquet",1,1
"21.1.10.3.altinity+stable","Arrow",1,1
"21.1.10.3.altinity+stable","PrettyCompact",0,1
"21.1.10.3.altinity+stable","AvroConfluent",1,0
"21.1.10.3.altinity+stable","ORC",1,1
"21.1.10.3.altinity+stable","PrettyCompactNoEscapes",0,1
"21.1.10.3.altinity+stable","RawBLOB",1,1
"21.1.10.3.altinity+stable","Template",1,1
"21.1.10.3.altinity+stable","MsgPack",1,1
"21.1.10.3.altinity+stable","JSONCompactEachRow",1,1
"21.1.10.3.altinity+stable","CustomSeparated",1,1
"21.1.10.3.altinity+stable","TemplateIgnoreSpaces",1,0
"21.1.10.3.altinity+stable","Markdown",0,1
"21.1.10.3.altinity+stable","XML",0,1
"21.1.10.3.altinity+stable","ProtobufSingle",1,1
"21.1.10.3.altinity+stable","JSONCompactStringsEachRowWithNamesAndTypes",1,1
"21.1.10.3.altinity+stable","TSKV",1,1
"21.1.10.3.altinity+stable","TabSeparated",1,1
"21.1.10.3.altinity+stable","JSONStringEachRow",0,0
"21.1.10.3.altinity+stable","CustomSeparatedIgnoreSpaces",1,0
"21.1.10.3.altinity+stable","CSVWithNames",1,1
"21.1.10.3.altinity+stable","JSONStringsEachRow",1,1
"21.1.10.3.altinity+stable","TSVRaw",1,1
"21.1.10.3.altinity+stable","Values",1,1
"21.1.10.3.altinity+stable","TabSeparatedWithNamesAndTypes",1,1
"21.1.10.3.altinity+stable","JSONStrings",0,1
"21.1.10.3.altinity+stable","Null",0,1
"21.1.10.3.altinity+stable","TabSeparatedRaw",1,1
"21.1.10.3.altinity+stable","TSVWithNames",1,1
"21.1.10.3.altinity+stable","JSONCompactEachRowWithNamesAndTypes",1,1
"21.1.10.3.altinity+stable","PrettyCompactMonoBlock",0,1
"21.1.10.3.altinity+stable","LineAsString",1,0
"21.1.10.3.altinity+stable","Native",1,1
"21.1.10.3.altinity+stable","Protobuf",1,1
"21.1.10.3.altinity+stable","RowBinary",1,1
"21.1.10.3.altinity+stable","JSONAsString",1,0
"21.1.10.3.altinity+stable","JSONCompactStringsEachRow",1,1
"21.1.10.3.altinity+stable","PrettySpace",0,1
"21.1.10.3.altinity+stable","TSV",1,1
"21.1.10.3.altinity+stable","Regexp",1,0
"21.1.10.3.altinity+stable","JSONEachRow",1,1
"21.1.10.3.altinity+stable","TSVWithNamesAndTypes",1,1
"21.1.10.3.altinity+stable","Avro",1,1
"21.1.10.3.altinity+stable","RowBinaryWithNamesAndTypes",1,1
