"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"21.3.20.1","PostgreSQL",0,0,0,0,0,0,0
"21.3.20.1","RabbitMQ",1,0,0,0,0,0,0
"21.3.20.1","Kafka",1,0,0,0,0,0,0
"21.3.20.1","MySQL",0,0,0,0,0,0,0
"21.3.20.1","HDFS",0,0,0,0,0,0,0
"21.3.20.1","S3",0,0,0,0,0,0,0
"21.3.20.1","MaterializedView",0,0,0,0,0,0,0
"21.3.20.1","EmbeddedRocksDB",0,0,1,0,0,0,1
"21.3.20.1","View",0,0,0,0,0,0,0
"21.3.20.1","JDBC",0,0,0,0,0,0,0
"21.3.20.1","Join",1,0,0,0,0,0,0
"21.3.20.1","Set",1,0,0,0,0,0,0
"21.3.20.1","Dictionary",0,0,0,0,0,0,0
"21.3.20.1","GenerateRandom",0,0,0,0,0,0,0
"21.3.20.1","LiveView",0,0,0,0,0,0,0
"21.3.20.1","MergeTree",1,1,1,1,0,0,1
"21.3.20.1","Memory",1,0,0,0,0,0,1
"21.3.20.1","Buffer",0,0,0,0,0,0,1
"21.3.20.1","MongoDB",0,0,0,0,0,0,0
"21.3.20.1","URL",1,0,0,0,0,0,0
"21.3.20.1","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1
"21.3.20.1","ReplacingMergeTree",1,1,1,1,0,0,1
"21.3.20.1","ReplicatedSummingMergeTree",1,1,1,1,1,1,1
"21.3.20.1","COSN",0,0,0,0,0,0,0
"21.3.20.1","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1
"21.3.20.1","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1
"21.3.20.1","File",1,0,0,0,0,0,0
"21.3.20.1","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1
"21.3.20.1","ReplicatedMergeTree",1,1,1,1,1,1,1
"21.3.20.1","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1
"21.3.20.1","VersionedCollapsingMergeTree",1,1,1,1,0,0,1
"21.3.20.1","SummingMergeTree",1,1,1,1,0,0,1
"21.3.20.1","Distributed",1,0,0,0,0,0,1
"21.3.20.1","TinyLog",1,0,0,0,0,0,0
"21.3.20.1","GraphiteMergeTree",1,1,1,1,0,0,1
"21.3.20.1","CollapsingMergeTree",1,1,1,1,0,0,1
"21.3.20.1","Merge",0,0,0,0,0,0,0
"21.3.20.1","AggregatingMergeTree",1,1,1,1,0,0,1
"21.3.20.1","ODBC",0,0,0,0,0,0,0
"21.3.20.1","Null",0,0,0,0,0,0,1
"21.3.20.1","StripeLog",1,0,0,0,0,0,0
"21.3.20.1","Log",1,0,0,0,0,0,0
