"ch_version","name","case_insensitive","alias_to"
"19.11.14.1","SimpleAggregateFunction",0,""
"19.11.14.1","IPv4",0,""
"19.11.14.1","IntervalYear",0,""
"19.11.14.1","IntervalQuarter",0,""
"19.11.14.1","IntervalMinute",0,""
"19.11.14.1","IntervalMonth",0,""
"19.11.14.1","IntervalSecond",0,""
"19.11.14.1","Nested",0,""
"19.11.14.1","IntervalWeek",0,""
"19.11.14.1","AggregateFunction",0,""
"19.11.14.1","IntervalHour",0,""
"19.11.14.1","UUID",0,""
"19.11.14.1","Nothing",0,""
"19.11.14.1","Nullable",0,""
"19.11.14.1","Float32",0,""
"19.11.14.1","Int16",0,""
"19.11.14.1","Float64",0,""
"19.11.14.1","Decimal32",1,""
"19.11.14.1","UInt16",0,""
"19.11.14.1","String",0,""
"19.11.14.1","IntervalDay",0,""
"19.11.14.1","UInt32",0,""
"19.11.14.1","LowCardinality",0,""
"19.11.14.1","UInt64",0,""
"19.11.14.1","Enum8",0,""
"19.11.14.1","Int32",0,""
"19.11.14.1","Enum",0,""
"19.11.14.1","Array",0,""
"19.11.14.1","Int64",0,""
"19.11.14.1","Int8",0,""
"19.11.14.1","UInt8",0,""
"19.11.14.1","Decimal64",1,""
"19.11.14.1","Enum16",0,""
"19.11.14.1","Decimal128",1,""
"19.11.14.1","Decimal",1,""
"19.11.14.1","Date",1,""
"19.11.14.1","DateTime",1,""
"19.11.14.1","FixedString",0,""
"19.11.14.1","IPv6",0,""
"19.11.14.1","Tuple",0,""
"19.11.14.1","BLOB",1,"String"
"19.11.14.1","LONGTEXT",1,"String"
"19.11.14.1","MEDIUMTEXT",1,"String"
"19.11.14.1","BIGINT",1,"Int64"
"19.11.14.1","FLOAT",1,"Float32"
"19.11.14.1","CHAR",1,"String"
"19.11.14.1","LONGBLOB",1,"String"
"19.11.14.1","INTEGER",1,"Int32"
"19.11.14.1","TINYBLOB",1,"String"
"19.11.14.1","TINYTEXT",1,"String"
"19.11.14.1","INT",1,"Int32"
"19.11.14.1","BINARY",1,"FixedString"
"19.11.14.1","TINYINT",1,"Int8"
"19.11.14.1","TEXT",1,"String"
"19.11.14.1","SMALLINT",1,"Int16"
"19.11.14.1","DOUBLE",1,"Float64"
"19.11.14.1","DEC",1,"Decimal"
"19.11.14.1","VARCHAR",1,"String"
"19.11.14.1","MEDIUMBLOB",1,"String"
"19.11.14.1","TIMESTAMP",1,"DateTime"
