"ch_version","name","supports_settings","supports_skipping_indices","supports_projections","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"25.5.5.19","OSS",1,0,0,1,0,0,0,0
"25.5.5.19","AzureBlobStorage",1,0,0,1,0,0,0,0
"25.5.5.19","KeeperMap",0,0,0,1,0,0,0,1
"25.5.5.19","S3",1,0,0,1,0,0,0,0
"25.5.5.19","MaterializedPostgreSQL",1,0,0,1,0,0,0,0
"25.5.5.19","PostgreSQL",0,0,0,0,0,0,0,0
"25.5.5.19","NATS",1,0,0,0,0,0,0,0
"25.5.5.19","COSN",1,0,0,1,0,0,0,0
"25.5.5.19","Redis",0,0,0,1,0,0,0,1
"25.5.5.19","MongoDB",0,0,0,0,0,0,0,0
"25.5.5.19","MySQL",1,0,0,0,0,0,0,0
"25.5.5.19","ODBC",0,0,0,0,0,0,0,0
"25.5.5.19","Hive",1,0,0,1,0,0,0,0
"25.5.5.19","DeltaLakeAzure",1,0,0,0,0,0,0,0
"25.5.5.19","DeltaLakeS3",1,0,0,0,0,0,0,0
"25.5.5.19","S3Queue",1,0,0,0,0,0,0,0
"25.5.5.19","Distributed",1,0,0,0,0,0,0,1
"25.5.5.19","ReplicatedSummingMergeTree",1,1,1,1,1,1,1,1
"25.5.5.19","ExecutablePool",1,0,0,0,0,0,0,0
"25.5.5.19","IcebergLocal",1,0,0,0,0,0,0,0
"25.5.5.19","View",0,0,0,0,0,0,0,0
"25.5.5.19","FuzzQuery",0,0,0,0,0,0,0,0
"25.5.5.19","Loop",0,0,0,0,0,0,0,0
"25.5.5.19","MaterializedView",0,0,0,0,0,0,0,0
"25.5.5.19","Join",1,0,0,0,0,0,0,0
"25.5.5.19","Executable",1,0,0,0,0,0,0,0
"25.5.5.19","Kafka",1,0,0,0,0,0,0,0
"25.5.5.19","Set",1,0,0,0,0,0,0,0
"25.5.5.19","Dictionary",0,0,0,0,0,0,0,0
"25.5.5.19","URL",1,0,0,0,0,0,0,0
"25.5.5.19","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1,1
"25.5.5.19","File",1,0,0,0,0,0,0,0
"25.5.5.19","IcebergS3",1,0,0,0,0,0,0,0
"25.5.5.19","Iceberg",1,0,0,0,0,0,0,0
"25.5.5.19","GenerateRandom",0,0,0,0,0,0,0,0
"25.5.5.19","LiveView",0,0,0,0,0,0,0,0
"25.5.5.19","Memory",1,0,0,0,0,0,0,1
"25.5.5.19","Merge",0,0,0,0,0,0,0,0
"25.5.5.19","WindowView",0,0,0,0,0,0,0,0
"25.5.5.19","Null",0,0,0,0,0,0,0,1
"25.5.5.19","SQLite",0,0,0,0,0,0,0,0
"25.5.5.19","VersionedCollapsingMergeTree",1,1,1,1,1,0,0,1
"25.5.5.19","ReplacingMergeTree",1,1,1,1,1,0,0,1
"25.5.5.19","ReplicatedMergeTree",1,1,1,1,1,1,1,1
"25.5.5.19","DeltaLake",1,0,0,0,0,0,0,0
"25.5.5.19","TimeSeries",1,0,0,0,0,0,0,0
"25.5.5.19","HDFS",1,0,0,1,0,0,0,0
"25.5.5.19","EmbeddedRocksDB",1,0,0,1,1,0,0,1
"25.5.5.19","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1,1
"25.5.5.19","IcebergHDFS",1,0,0,0,0,0,0,0
"25.5.5.19","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1,1
"25.5.5.19","IcebergAzure",1,0,0,0,0,0,0,0
"25.5.5.19","Hudi",0,0,0,0,0,0,0,0
"25.5.5.19","TinyLog",1,0,0,0,0,0,0,0
"25.5.5.19","FuzzJSON",0,0,0,0,0,0,0,0
"25.5.5.19","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1,1
"25.5.5.19","JDBC",0,0,0,0,0,0,0,0
"25.5.5.19","SummingMergeTree",1,1,1,1,1,0,0,1
"25.5.5.19","MergeTree",1,1,1,1,1,0,0,1
"25.5.5.19","GraphiteMergeTree",1,1,1,1,1,0,0,1
"25.5.5.19","CollapsingMergeTree",1,1,1,1,1,0,0,1
"25.5.5.19","FileLog",1,0,0,0,0,0,0,0
"25.5.5.19","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1,1
"25.5.5.19","RabbitMQ",1,0,0,0,0,0,0,0
"25.5.5.19","Buffer",0,0,0,0,0,0,0,1
"25.5.5.19","AzureQueue",1,0,0,0,0,0,0,0
"25.5.5.19","AggregatingMergeTree",1,1,1,1,1,0,0,1
"25.5.5.19","StripeLog",1,0,0,0,0,0,0,0
"25.5.5.19","Log",1,0,0,0,0,0,0,0
