"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.6.6.7","RabbitMQ",1,0,0,0,0,0
"20.6.6.7","Kafka",1,0,0,0,0,0
"20.6.6.7","MySQL",0,0,0,0,0,0
"20.6.6.7","HDFS",0,0,0,0,0,0
"20.6.6.7","S3",0,0,0,0,0,0
"20.6.6.7","MaterializedView",0,0,0,0,0,0
"20.6.6.7","View",0,0,0,0,0,0
"20.6.6.7","JDBC",0,0,0,0,0,0
"20.6.6.7","Join",1,0,0,0,0,0
"20.6.6.7","Set",0,0,0,0,0,0
"20.6.6.7","Dictionary",0,0,0,0,0,0
"20.6.6.7","GenerateRandom",0,0,0,0,0,0
"20.6.6.7","LiveView",0,0,0,0,0,0
"20.6.6.7","MergeTree",1,1,1,1,0,0
"20.6.6.7","Memory",0,0,0,0,0,0
"20.6.6.7","Buffer",0,0,0,0,0,0
"20.6.6.7","MongoDB",0,0,0,0,0,0
"20.6.6.7","URL",0,0,0,0,0,0
"20.6.6.7","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.6.6.7","ReplacingMergeTree",1,1,1,1,0,0
"20.6.6.7","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.6.6.7","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.6.6.7","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.6.6.7","File",0,0,0,0,0,0
"20.6.6.7","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.6.6.7","ReplicatedMergeTree",1,1,1,1,1,1
"20.6.6.7","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.6.6.7","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.6.6.7","SummingMergeTree",1,1,1,1,0,0
"20.6.6.7","Distributed",0,0,0,0,0,0
"20.6.6.7","TinyLog",1,0,0,0,0,0
"20.6.6.7","GraphiteMergeTree",1,1,1,1,0,0
"20.6.6.7","CollapsingMergeTree",1,1,1,1,0,0
"20.6.6.7","Merge",0,0,0,0,0,0
"20.6.6.7","AggregatingMergeTree",1,1,1,1,0,0
"20.6.6.7","ODBC",0,0,0,0,0,0
"20.6.6.7","Null",0,0,0,0,0,0
"20.6.6.7","StripeLog",1,0,0,0,0,0
"20.6.6.7","Log",1,0,0,0,0,0
