"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting"
"23.8.16.40","ParquetMetadata",1,0,0,0
"23.8.16.40","Prometheus",0,1,0,0
"23.8.16.40","CapnProto",1,1,0,0
"23.8.16.40","PostgreSQLWire",0,1,0,0
"23.8.16.40","MySQLWire",0,1,0,0
"23.8.16.40","JSONEachRowWithProgress",0,1,0,0
"23.8.16.40","ODBCDriver2",0,1,0,0
"23.8.16.40","PrettySpaceNoEscapes",0,1,0,1
"23.8.16.40","PrettySpace",0,1,0,1
"23.8.16.40","One",1,0,0,0
"23.8.16.40","PrettyCompactMonoBlock",0,1,0,0
"23.8.16.40","PrettyCompactNoEscapes",0,1,0,1
"23.8.16.40","JSONStringsEachRowWithProgress",0,1,0,0
"23.8.16.40","PrettyNoEscapesMonoBlock",0,1,0,0
"23.8.16.40","PrettyMonoBlock",0,1,0,0
"23.8.16.40","ArrowStream",1,1,0,0
"23.8.16.40","Avro",1,1,0,0
"23.8.16.40","AvroConfluent",1,0,0,0
"23.8.16.40","ORC",1,1,0,0
"23.8.16.40","CustomSeparatedIgnoreSpacesWithNames",1,0,0,0
"23.8.16.40","CustomSeparatedIgnoreSpaces",1,0,0,0
"23.8.16.40","CustomSeparatedWithNames",1,1,0,1
"23.8.16.40","RawBLOB",1,1,0,0
"23.8.16.40","TemplateIgnoreSpaces",1,0,0,0
"23.8.16.40","MsgPack",1,1,0,1
"23.8.16.40","Template",1,1,0,0
"23.8.16.40","Protobuf",1,1,0,0
"23.8.16.40","Markdown",0,1,0,1
"23.8.16.40","XML",0,1,0,1
"23.8.16.40","ProtobufSingle",1,1,0,0
"23.8.16.40","JSONColumnsWithMetadata",1,1,0,0
"23.8.16.40","JSONCompactColumns",1,1,0,0
"23.8.16.40","JSONColumns",1,1,0,0
"23.8.16.40","JSONObjectEachRow",1,1,0,1
"23.8.16.40","PrettyCompactNoEscapesMonoBlock",0,1,0,0
"23.8.16.40","PrettyNoEscapes",0,1,0,1
"23.8.16.40","JSONCompactStrings",0,1,0,1
"23.8.16.40","JSONCompact",1,1,0,1
"23.8.16.40","Null",0,1,0,0
"23.8.16.40","JSONStrings",0,1,0,1
"23.8.16.40","LineAsStringWithNamesAndTypes",0,1,0,1
"23.8.16.40","RowBinaryWithNamesAndTypes",1,1,0,1
"23.8.16.40","RowBinary",1,1,0,1
"23.8.16.40","LineAsString",1,1,1,1
"23.8.16.40","Native",1,1,0,0
"23.8.16.40","LineAsStringWithNames",0,1,0,1
"23.8.16.40","BSONEachRow",1,1,1,1
"23.8.16.40","JSONCompactStringsEachRowWithNamesAndTypes",1,1,1,1
"23.8.16.40","PrettySpaceMonoBlock",0,1,0,0
"23.8.16.40","PrettyCompact",0,1,0,1
"23.8.16.40","RowBinaryWithNames",1,1,0,1
"23.8.16.40","Arrow",1,1,0,0
"23.8.16.40","Parquet",1,1,1,0
"23.8.16.40","TabSeparatedWithNames",1,1,1,1
"23.8.16.40","JSONCompactStringsEachRowWithNames",1,1,1,1
"23.8.16.40","PrettyJSONLines",0,1,0,1
"23.8.16.40","HiveText",1,0,1,0
"23.8.16.40","PrettySpaceNoEscapesMonoBlock",0,1,0,0
"23.8.16.40","TabSeparatedRawWithNames",1,1,1,1
"23.8.16.40","JSONCompactStringsEachRow",1,1,1,1
"23.8.16.40","CustomSeparated",1,1,0,1
"23.8.16.40","JSONCompactEachRow",1,1,1,1
"23.8.16.40","TSVRawWithNamesAndTypes",1,1,1,1
"23.8.16.40","JSONAsString",1,0,1,0
"23.8.16.40","NDJSON",1,1,1,1
"23.8.16.40","JSONAsObject",1,0,1,0
"23.8.16.40","SQLInsert",0,1,0,0
"23.8.16.40","PrettyJSONEachRow",0,1,0,1
"23.8.16.40","RowBinaryWithDefaults",1,0,0,0
"23.8.16.40","JSONLines",1,1,1,1
"23.8.16.40","CustomSeparatedWithNamesAndTypes",1,1,0,1
"23.8.16.40","PrettyNDJSON",0,1,0,1
"23.8.16.40","ProtobufList",1,1,0,0
"23.8.16.40","JSON",1,1,0,1
"23.8.16.40","MySQLDump",1,0,0,0
"23.8.16.40","TSVWithNamesAndTypes",1,1,1,1
"23.8.16.40","CSVWithNamesAndTypes",1,1,1,1
"23.8.16.40","CSVWithNames",1,1,1,1
"23.8.16.40","Regexp",1,0,1,0
"23.8.16.40","TSV",1,1,1,1
"23.8.16.40","Vertical",0,1,0,1
"23.8.16.40","CSV",1,1,1,1
"23.8.16.40","Pretty",0,1,0,1
"23.8.16.40","JSONCompactEachRowWithNames",1,1,1,1
"23.8.16.40","TabSeparatedRawWithNamesAndTypes",1,1,1,1
"23.8.16.40","TSKV",1,1,1,1
"23.8.16.40","TSVRaw",1,1,1,1
"23.8.16.40","Values",1,1,0,1
"23.8.16.40","JSONStringsEachRow",1,1,1,1
"23.8.16.40","TabSeparated",1,1,1,1
"23.8.16.40","TabSeparatedWithNamesAndTypes",1,1,1,1
"23.8.16.40","TSVRawWithNames",1,1,1,1
"23.8.16.40","JSONCompactEachRowWithNamesAndTypes",1,1,1,1
"23.8.16.40","CustomSeparatedIgnoreSpacesWithNamesAndTypes",1,0,0,0
"23.8.16.40","TabSeparatedRaw",1,1,1,1
"23.8.16.40","TSVWithNames",1,1,1,1
"23.8.16.40","JSONEachRow",1,1,1,1
