"ch_version","name","description","allow_readonly"
"26.3.12.3","ytsaurus","Allows get data from YTsaurus.",0
"26.3.12.3","hudiCluster","The table function can be used to read the Hudi table stored on object store in parallel for many nodes in a specified cluster.",0
"26.3.12.3","deltaLakeCluster","The table function can be used to read the DeltaLake table stored on object store in parallel for many nodes in a specified cluster.",0
"26.3.12.3","paimonHDFSCluster","The table function can be used to read the Paimon table stored on HDFS virtual filesystem in parallel for many nodes in a specified cluster.",0
"26.3.12.3","paimonAzureCluster","The table function can be used to read the Paimon table stored on Azure object store in parallel for many nodes in a specified cluster.",0
"26.3.12.3","paimonS3Cluster","The table function can be used to read the Paimon table stored on S3 object store in parallel for many nodes in a specified cluster.",0
"26.3.12.3","icebergAzureCluster","The table function can be used to read the Iceberg table stored on Azure object store in parallel for many nodes in a specified cluster.",0
"26.3.12.3","icebergS3Cluster","The table function can be used to read the Iceberg table stored on S3 object store in parallel for many nodes in a specified cluster.",0
"26.3.12.3","deltaLakeS3Cluster","The table function can be used to read the DeltaLake table stored on S3 object store in parallel for many nodes in a specified cluster.",0
"26.3.12.3","deltaLakeLocal","The table function can be used to read the DeltaLake table stored locally.",0
"26.3.12.3","deltaLakeAzure","The table function can be used to read the DeltaLake table stored on Azure object store.",0
"26.3.12.3","paimonHDFS","The table function can be used to read the Paimon table stored on HDFS virtual filesystem.",0
"26.3.12.3","paimon","The table function can be used to read the Paimon table stored on S3 object store. Alias to paimonS3",0
"26.3.12.3","icebergLocal","The table function can be used to read the Iceberg table stored locally.",0
"26.3.12.3","icebergHDFS","The table function can be used to read the Iceberg table stored on HDFS virtual filesystem.",0
"26.3.12.3","icebergCluster","The table function can be used to read the Iceberg table stored on store from disk in parallel for many nodes in a specified cluster.",0
"26.3.12.3","icebergLocalCluster","The table function can be used to read the Iceberg table stored on shared storage in parallel for many nodes in a specified cluster.",0
"26.3.12.3","icebergAzure","The table function can be used to read the Iceberg table stored on Azure object store.",0
"26.3.12.3","deltaLakeAzureCluster","The table function can be used to read the DeltaLake table stored on Azure object store in parallel for many nodes in a specified cluster.",0
"26.3.12.3","icebergS3","The table function can be used to read the Iceberg table stored on S3 object store.",0
"26.3.12.3","iceberg","The table function can be used to read the Iceberg table stored on S3 object store. Alias to icebergS3",0
"26.3.12.3","hdfsCluster","The table function can be used to read the data stored on HDFS in parallel for many nodes in a specified cluster.",0
"26.3.12.3","paimonLocal","The table function can be used to read the Paimon table stored locally.",0
