"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"21.1.4.46","RabbitMQ",1,0,0,0,0,0,0
"21.1.4.46","Kafka",1,0,0,0,0,0,0
"21.1.4.46","MySQL",0,0,0,0,0,0,0
"21.1.4.46","HDFS",0,0,0,0,0,0,0
"21.1.4.46","S3",0,0,0,0,0,0,0
"21.1.4.46","MaterializedView",0,0,0,0,0,0,0
"21.1.4.46","EmbeddedRocksDB",0,0,1,0,0,0,1
"21.1.4.46","View",0,0,0,0,0,0,0
"21.1.4.46","JDBC",0,0,0,0,0,0,0
"21.1.4.46","Join",1,0,0,0,0,0,0
"21.1.4.46","Set",1,0,0,0,0,0,0
"21.1.4.46","Dictionary",0,0,0,0,0,0,0
"21.1.4.46","GenerateRandom",0,0,0,0,0,0,0
"21.1.4.46","LiveView",0,0,0,0,0,0,0
"21.1.4.46","MergeTree",1,1,1,1,0,0,1
"21.1.4.46","Memory",0,0,0,0,0,0,1
"21.1.4.46","Buffer",0,0,0,0,0,0,1
"21.1.4.46","MongoDB",0,0,0,0,0,0,0
"21.1.4.46","URL",1,0,0,0,0,0,0
"21.1.4.46","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1
"21.1.4.46","ReplacingMergeTree",1,1,1,1,0,0,1
"21.1.4.46","ReplicatedSummingMergeTree",1,1,1,1,1,1,1
"21.1.4.46","COSN",0,0,0,0,0,0,0
"21.1.4.46","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1
"21.1.4.46","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1
"21.1.4.46","File",1,0,0,0,0,0,0
"21.1.4.46","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1
"21.1.4.46","ReplicatedMergeTree",1,1,1,1,1,1,1
"21.1.4.46","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1
"21.1.4.46","VersionedCollapsingMergeTree",1,1,1,1,0,0,1
"21.1.4.46","SummingMergeTree",1,1,1,1,0,0,1
"21.1.4.46","Distributed",1,0,0,0,0,0,1
"21.1.4.46","TinyLog",1,0,0,0,0,0,0
"21.1.4.46","GraphiteMergeTree",1,1,1,1,0,0,1
"21.1.4.46","CollapsingMergeTree",1,1,1,1,0,0,1
"21.1.4.46","Merge",0,0,0,0,0,0,0
"21.1.4.46","AggregatingMergeTree",1,1,1,1,0,0,1
"21.1.4.46","ODBC",0,0,0,0,0,0,0
"21.1.4.46","Null",0,0,0,0,0,0,1
"21.1.4.46","StripeLog",1,0,0,0,0,0,0
"21.1.4.46","Log",1,0,0,0,0,0,0
