"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.6.5.8","RabbitMQ",1,0,0,0,0,0
"20.6.5.8","Kafka",1,0,0,0,0,0
"20.6.5.8","MySQL",0,0,0,0,0,0
"20.6.5.8","HDFS",0,0,0,0,0,0
"20.6.5.8","S3",0,0,0,0,0,0
"20.6.5.8","MaterializedView",0,0,0,0,0,0
"20.6.5.8","View",0,0,0,0,0,0
"20.6.5.8","JDBC",0,0,0,0,0,0
"20.6.5.8","Join",1,0,0,0,0,0
"20.6.5.8","Set",0,0,0,0,0,0
"20.6.5.8","Dictionary",0,0,0,0,0,0
"20.6.5.8","GenerateRandom",0,0,0,0,0,0
"20.6.5.8","LiveView",0,0,0,0,0,0
"20.6.5.8","MergeTree",1,1,1,1,0,0
"20.6.5.8","Memory",0,0,0,0,0,0
"20.6.5.8","Buffer",0,0,0,0,0,0
"20.6.5.8","MongoDB",0,0,0,0,0,0
"20.6.5.8","URL",0,0,0,0,0,0
"20.6.5.8","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.6.5.8","ReplacingMergeTree",1,1,1,1,0,0
"20.6.5.8","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.6.5.8","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.6.5.8","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.6.5.8","File",0,0,0,0,0,0
"20.6.5.8","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.6.5.8","ReplicatedMergeTree",1,1,1,1,1,1
"20.6.5.8","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.6.5.8","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.6.5.8","SummingMergeTree",1,1,1,1,0,0
"20.6.5.8","Distributed",0,0,0,0,0,0
"20.6.5.8","TinyLog",1,0,0,0,0,0
"20.6.5.8","GraphiteMergeTree",1,1,1,1,0,0
"20.6.5.8","CollapsingMergeTree",1,1,1,1,0,0
"20.6.5.8","Merge",0,0,0,0,0,0
"20.6.5.8","AggregatingMergeTree",1,1,1,1,0,0
"20.6.5.8","ODBC",0,0,0,0,0,0
"20.6.5.8","Null",0,0,0,0,0,0
"20.6.5.8","StripeLog",1,0,0,0,0,0
"20.6.5.8","Log",1,0,0,0,0,0
