"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"21.3.8.76","PostgreSQL",0,0,0,0,0,0,0
"21.3.8.76","RabbitMQ",1,0,0,0,0,0,0
"21.3.8.76","Kafka",1,0,0,0,0,0,0
"21.3.8.76","MySQL",0,0,0,0,0,0,0
"21.3.8.76","HDFS",0,0,0,0,0,0,0
"21.3.8.76","S3",0,0,0,0,0,0,0
"21.3.8.76","MaterializedView",0,0,0,0,0,0,0
"21.3.8.76","EmbeddedRocksDB",0,0,1,0,0,0,1
"21.3.8.76","View",0,0,0,0,0,0,0
"21.3.8.76","JDBC",0,0,0,0,0,0,0
"21.3.8.76","Join",1,0,0,0,0,0,0
"21.3.8.76","Set",1,0,0,0,0,0,0
"21.3.8.76","Dictionary",0,0,0,0,0,0,0
"21.3.8.76","GenerateRandom",0,0,0,0,0,0,0
"21.3.8.76","LiveView",0,0,0,0,0,0,0
"21.3.8.76","MergeTree",1,1,1,1,0,0,1
"21.3.8.76","Memory",1,0,0,0,0,0,1
"21.3.8.76","Buffer",0,0,0,0,0,0,1
"21.3.8.76","MongoDB",0,0,0,0,0,0,0
"21.3.8.76","URL",1,0,0,0,0,0,0
"21.3.8.76","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1
"21.3.8.76","ReplacingMergeTree",1,1,1,1,0,0,1
"21.3.8.76","ReplicatedSummingMergeTree",1,1,1,1,1,1,1
"21.3.8.76","COSN",0,0,0,0,0,0,0
"21.3.8.76","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1
"21.3.8.76","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1
"21.3.8.76","File",1,0,0,0,0,0,0
"21.3.8.76","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1
"21.3.8.76","ReplicatedMergeTree",1,1,1,1,1,1,1
"21.3.8.76","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1
"21.3.8.76","VersionedCollapsingMergeTree",1,1,1,1,0,0,1
"21.3.8.76","SummingMergeTree",1,1,1,1,0,0,1
"21.3.8.76","Distributed",1,0,0,0,0,0,1
"21.3.8.76","TinyLog",1,0,0,0,0,0,0
"21.3.8.76","GraphiteMergeTree",1,1,1,1,0,0,1
"21.3.8.76","CollapsingMergeTree",1,1,1,1,0,0,1
"21.3.8.76","Merge",0,0,0,0,0,0,0
"21.3.8.76","AggregatingMergeTree",1,1,1,1,0,0,1
"21.3.8.76","ODBC",0,0,0,0,0,0,0
"21.3.8.76","Null",0,0,0,0,0,0,1
"21.3.8.76","StripeLog",1,0,0,0,0,0,0
"21.3.8.76","Log",1,0,0,0,0,0,0
