"ch_version","name"
"19.1.5","af"
"19.1.5","am"
"19.1.5","ar"
"19.1.5","as"
"19.1.5","az"
"19.1.5","be"
"19.1.5","bg"
"19.1.5","bn"
"19.1.5","bo"
"19.1.5","bs"
"19.1.5","bs_Cyrl"
"19.1.5","ca"
"19.1.5","chr"
"19.1.5","cs"
"19.1.5","cy"
"19.1.5","da"
"19.1.5","de"
"19.1.5","de_AT"
"19.1.5","dsb"
"19.1.5","dz"
"19.1.5","ee"
"19.1.5","el"
"19.1.5","en"
"19.1.5","en_US"
"19.1.5","en_US_POSIX"
"19.1.5","eo"
"19.1.5","es"
"19.1.5","et"
"19.1.5","fa"
"19.1.5","fa_AF"
"19.1.5","fi"
"19.1.5","fil"
"19.1.5","fo"
"19.1.5","fr"
"19.1.5","fr_CA"
"19.1.5","ga"
"19.1.5","gl"
"19.1.5","gu"
"19.1.5","ha"
"19.1.5","haw"
"19.1.5","he"
"19.1.5","hi"
"19.1.5","hr"
"19.1.5","hsb"
"19.1.5","hu"
"19.1.5","hy"
"19.1.5","id"
"19.1.5","ig"
"19.1.5","is"
"19.1.5","it"
"19.1.5","ja"
"19.1.5","ka"
"19.1.5","kk"
"19.1.5","kl"
"19.1.5","km"
"19.1.5","kn"
"19.1.5","ko"
"19.1.5","kok"
"19.1.5","ky"
"19.1.5","lb"
"19.1.5","lkt"
"19.1.5","ln"
"19.1.5","lo"
"19.1.5","lt"
"19.1.5","lv"
"19.1.5","mk"
"19.1.5","ml"
"19.1.5","mn"
"19.1.5","mr"
"19.1.5","ms"
"19.1.5","mt"
"19.1.5","my"
"19.1.5","nb"
"19.1.5","ne"
"19.1.5","nl"
"19.1.5","nn"
"19.1.5","om"
"19.1.5","or"
"19.1.5","pa"
"19.1.5","pl"
"19.1.5","ps"
"19.1.5","pt"
"19.1.5","ro"
"19.1.5","ru"
"19.1.5","se"
"19.1.5","si"
"19.1.5","sk"
"19.1.5","sl"
"19.1.5","smn"
"19.1.5","sq"
"19.1.5","sr"
"19.1.5","sr_Latn"
"19.1.5","sv"
"19.1.5","sw"
"19.1.5","ta"
"19.1.5","te"
"19.1.5","th"
"19.1.5","to"
"19.1.5","tr"
"19.1.5","ug"
"19.1.5","uk"
"19.1.5","ur"
"19.1.5","uz"
"19.1.5","vi"
"19.1.5","wae"
"19.1.5","wo"
"19.1.5","yi"
"19.1.5","yo"
"19.1.5","zh"
"19.1.5","zh_Hant"
"19.1.5","zu"
