"ch_version","name","supports_settings","supports_skipping_indices","supports_projections","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"21.11.11.1","SQLite",0,0,0,0,0,0,0,0
"21.11.11.1","RabbitMQ",1,0,0,0,0,0,0,0
"21.11.11.1","PostgreSQL",0,0,0,0,0,0,0,0
"21.11.11.1","Dictionary",0,0,0,0,0,0,0,0
"21.11.11.1","MySQL",1,0,0,0,0,0,0,0
"21.11.11.1","FileLog",1,0,0,0,0,0,0,0
"21.11.11.1","Kafka",1,0,0,0,0,0,0,0
"21.11.11.1","HDFS",0,0,0,0,0,0,0,0
"21.11.11.1","MaterializedPostgreSQL",1,0,0,1,0,0,0,0
"21.11.11.1","S3",1,0,0,0,0,0,0,0
"21.11.11.1","Distributed",1,0,0,0,0,0,0,1
"21.11.11.1","ReplicatedSummingMergeTree",1,1,1,1,1,1,1,1
"21.11.11.1","ExecutablePool",0,0,0,0,0,0,0,0
"21.11.11.1","MaterializedView",0,0,0,0,0,0,0,0
"21.11.11.1","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1,1
"21.11.11.1","EmbeddedRocksDB",0,0,0,1,0,0,0,1
"21.11.11.1","View",0,0,0,0,0,0,0,0
"21.11.11.1","JDBC",0,0,0,0,0,0,0,0
"21.11.11.1","Join",1,0,0,0,0,0,0,0
"21.11.11.1","ExternalDistributed",0,0,0,0,0,0,0,0
"21.11.11.1","Executable",0,0,0,0,0,0,0,0
"21.11.11.1","Set",1,0,0,0,0,0,0,0
"21.11.11.1","GenerateRandom",0,0,0,0,0,0,0,0
"21.11.11.1","LiveView",0,0,0,0,0,0,0,0
"21.11.11.1","MergeTree",1,1,1,1,1,0,0,1
"21.11.11.1","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1,1
"21.11.11.1","Memory",1,0,0,0,0,0,0,1
"21.11.11.1","Buffer",0,0,0,0,0,0,0,1
"21.11.11.1","MongoDB",0,0,0,0,0,0,0,0
"21.11.11.1","URL",1,0,0,0,0,0,0,0
"21.11.11.1","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1,1
"21.11.11.1","VersionedCollapsingMergeTree",1,1,1,1,1,0,0,1
"21.11.11.1","ReplacingMergeTree",1,1,1,1,1,0,0,1
"21.11.11.1","COSN",1,0,0,0,0,0,0,0
"21.11.11.1","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1,1
"21.11.11.1","File",1,0,0,0,0,0,0,0
"21.11.11.1","TinyLog",1,0,0,0,0,0,0,0
"21.11.11.1","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1,1
"21.11.11.1","ReplicatedMergeTree",1,1,1,1,1,1,1,1
"21.11.11.1","SummingMergeTree",1,1,1,1,1,0,0,1
"21.11.11.1","GraphiteMergeTree",1,1,1,1,1,0,0,1
"21.11.11.1","CollapsingMergeTree",1,1,1,1,1,0,0,1
"21.11.11.1","Merge",0,0,0,0,0,0,0,0
"21.11.11.1","AggregatingMergeTree",1,1,1,1,1,0,0,1
"21.11.11.1","ODBC",0,0,0,0,0,0,0,0
"21.11.11.1","Null",0,0,0,0,0,0,0,1
"21.11.11.1","StripeLog",1,0,0,0,0,0,0,0
"21.11.11.1","Log",1,0,0,0,0,0,0,0
