"ch_version","name","case_insensitive","alias_to"
"22.8.18.31","JSON",1,""
"22.8.18.31","Polygon",0,""
"22.8.18.31","Ring",0,""
"22.8.18.31","Point",0,""
"22.8.18.31","SimpleAggregateFunction",0,""
"22.8.18.31","MultiPolygon",0,""
"22.8.18.31","IPv6",0,""
"22.8.18.31","UInt32",0,""
"22.8.18.31","IntervalYear",0,""
"22.8.18.31","IntervalQuarter",0,""
"22.8.18.31","IntervalMonth",0,""
"22.8.18.31","Int64",0,""
"22.8.18.31","IntervalDay",0,""
"22.8.18.31","IntervalHour",0,""
"22.8.18.31","IPv4",0,""
"22.8.18.31","IntervalSecond",0,""
"22.8.18.31","LowCardinality",0,""
"22.8.18.31","Int16",0,""
"22.8.18.31","UInt256",0,""
"22.8.18.31","AggregateFunction",0,""
"22.8.18.31","Nothing",0,""
"22.8.18.31","Decimal256",1,""
"22.8.18.31","Tuple",0,""
"22.8.18.31","Array",0,""
"22.8.18.31","IntervalMicrosecond",0,""
"22.8.18.31","Bool",1,""
"22.8.18.31","Enum16",0,""
"22.8.18.31","IntervalMinute",0,""
"22.8.18.31","FixedString",0,""
"22.8.18.31","String",0,""
"22.8.18.31","DateTime",1,""
"22.8.18.31","Object",0,""
"22.8.18.31","Map",0,""
"22.8.18.31","UUID",0,""
"22.8.18.31","Decimal64",1,""
"22.8.18.31","Nullable",0,""
"22.8.18.31","Enum",1,""
"22.8.18.31","Int32",0,""
"22.8.18.31","UInt8",0,""
"22.8.18.31","Date",1,""
"22.8.18.31","Decimal32",1,""
"22.8.18.31","UInt128",0,""
"22.8.18.31","Float64",0,""
"22.8.18.31","Nested",0,""
"22.8.18.31","UInt16",0,""
"22.8.18.31","IntervalMillisecond",0,""
"22.8.18.31","Int128",0,""
"22.8.18.31","Decimal128",1,""
"22.8.18.31","Int8",0,""
"22.8.18.31","Decimal",1,""
"22.8.18.31","Int256",0,""
"22.8.18.31","DateTime64",1,""
"22.8.18.31","Enum8",0,""
"22.8.18.31","DateTime32",1,""
"22.8.18.31","Date32",1,""
"22.8.18.31","IntervalWeek",0,""
"22.8.18.31","UInt64",0,""
"22.8.18.31","IntervalNanosecond",0,""
"22.8.18.31","Float32",0,""
"22.8.18.31","bool",1,"Bool"
"22.8.18.31","INET6",1,"IPv6"
"22.8.18.31","INET4",1,"IPv4"
"22.8.18.31","ENUM",1,"Enum"
"22.8.18.31","BINARY",1,"FixedString"
"22.8.18.31","GEOMETRY",1,"String"
"22.8.18.31","NATIONAL CHAR VARYING",1,"String"
"22.8.18.31","BINARY VARYING",1,"String"
"22.8.18.31","NCHAR LARGE OBJECT",1,"String"
"22.8.18.31","NATIONAL CHARACTER VARYING",1,"String"
"22.8.18.31","boolean",1,"Bool"
"22.8.18.31","NATIONAL CHARACTER LARGE OBJECT",1,"String"
"22.8.18.31","NATIONAL CHARACTER",1,"String"
"22.8.18.31","NATIONAL CHAR",1,"String"
"22.8.18.31","CHARACTER VARYING",1,"String"
"22.8.18.31","LONGBLOB",1,"String"
"22.8.18.31","TINYBLOB",1,"String"
"22.8.18.31","MEDIUMTEXT",1,"String"
"22.8.18.31","TEXT",1,"String"
"22.8.18.31","VARCHAR2",1,"String"
"22.8.18.31","CHARACTER LARGE OBJECT",1,"String"
"22.8.18.31","DOUBLE PRECISION",1,"Float64"
"22.8.18.31","LONGTEXT",1,"String"
"22.8.18.31","NVARCHAR",1,"String"
"22.8.18.31","INT1 UNSIGNED",1,"UInt8"
"22.8.18.31","VARCHAR",1,"String"
"22.8.18.31","CHAR VARYING",1,"String"
"22.8.18.31","MEDIUMBLOB",1,"String"
"22.8.18.31","NCHAR",1,"String"
"22.8.18.31","VARBINARY",1,"String"
"22.8.18.31","CHAR",1,"String"
"22.8.18.31","SMALLINT UNSIGNED",1,"UInt16"
"22.8.18.31","TIMESTAMP",1,"DateTime"
"22.8.18.31","FIXED",1,"Decimal"
"22.8.18.31","TINYTEXT",1,"String"
"22.8.18.31","NUMERIC",1,"Decimal"
"22.8.18.31","DEC",1,"Decimal"
"22.8.18.31","TIME",1,"Int64"
"22.8.18.31","FLOAT",1,"Float32"
"22.8.18.31","SET",1,"UInt64"
"22.8.18.31","TINYINT UNSIGNED",1,"UInt8"
"22.8.18.31","INTEGER UNSIGNED",1,"UInt32"
"22.8.18.31","INT UNSIGNED",1,"UInt32"
"22.8.18.31","CLOB",1,"String"
"22.8.18.31","MEDIUMINT UNSIGNED",1,"UInt32"
"22.8.18.31","BLOB",1,"String"
"22.8.18.31","REAL",1,"Float32"
"22.8.18.31","SMALLINT",1,"Int16"
"22.8.18.31","INTEGER SIGNED",1,"Int32"
"22.8.18.31","NCHAR VARYING",1,"String"
"22.8.18.31","INT SIGNED",1,"Int32"
"22.8.18.31","TINYINT SIGNED",1,"Int8"
"22.8.18.31","BIGINT SIGNED",1,"Int64"
"22.8.18.31","BINARY LARGE OBJECT",1,"String"
"22.8.18.31","SMALLINT SIGNED",1,"Int16"
"22.8.18.31","YEAR",1,"UInt16"
"22.8.18.31","MEDIUMINT",1,"Int32"
"22.8.18.31","INTEGER",1,"Int32"
"22.8.18.31","INT1 SIGNED",1,"Int8"
"22.8.18.31","BIT",1,"UInt64"
"22.8.18.31","BIGINT UNSIGNED",1,"UInt64"
"22.8.18.31","BYTEA",1,"String"
"22.8.18.31","INT",1,"Int32"
"22.8.18.31","SINGLE",1,"Float32"
"22.8.18.31","MEDIUMINT SIGNED",1,"Int32"
