"ch_version","name","case_insensitive","alias_to"
"23.3.19.33.altinitystable","JSON",1,""
"23.3.19.33.altinitystable","Polygon",0,""
"23.3.19.33.altinitystable","Ring",0,""
"23.3.19.33.altinitystable","Point",0,""
"23.3.19.33.altinitystable","SimpleAggregateFunction",0,""
"23.3.19.33.altinitystable","IntervalQuarter",0,""
"23.3.19.33.altinitystable","IntervalMonth",0,""
"23.3.19.33.altinitystable","Int64",0,""
"23.3.19.33.altinitystable","IntervalDay",0,""
"23.3.19.33.altinitystable","IntervalHour",0,""
"23.3.19.33.altinitystable","IPv4",0,""
"23.3.19.33.altinitystable","IntervalSecond",0,""
"23.3.19.33.altinitystable","LowCardinality",0,""
"23.3.19.33.altinitystable","Int16",0,""
"23.3.19.33.altinitystable","UInt256",0,""
"23.3.19.33.altinitystable","AggregateFunction",0,""
"23.3.19.33.altinitystable","MultiPolygon",0,""
"23.3.19.33.altinitystable","IPv6",0,""
"23.3.19.33.altinitystable","Nothing",0,""
"23.3.19.33.altinitystable","Decimal256",1,""
"23.3.19.33.altinitystable","Tuple",0,""
"23.3.19.33.altinitystable","Array",0,""
"23.3.19.33.altinitystable","IntervalMicrosecond",0,""
"23.3.19.33.altinitystable","Bool",1,""
"23.3.19.33.altinitystable","Enum16",0,""
"23.3.19.33.altinitystable","IntervalMinute",0,""
"23.3.19.33.altinitystable","FixedString",0,""
"23.3.19.33.altinitystable","String",0,""
"23.3.19.33.altinitystable","DateTime",1,""
"23.3.19.33.altinitystable","Object",0,""
"23.3.19.33.altinitystable","Map",0,""
"23.3.19.33.altinitystable","UUID",0,""
"23.3.19.33.altinitystable","Decimal64",1,""
"23.3.19.33.altinitystable","Nullable",0,""
"23.3.19.33.altinitystable","Enum",1,""
"23.3.19.33.altinitystable","Int32",0,""
"23.3.19.33.altinitystable","UInt8",0,""
"23.3.19.33.altinitystable","Date",1,""
"23.3.19.33.altinitystable","Decimal32",1,""
"23.3.19.33.altinitystable","UInt128",0,""
"23.3.19.33.altinitystable","Float64",0,""
"23.3.19.33.altinitystable","Nested",0,""
"23.3.19.33.altinitystable","UInt16",0,""
"23.3.19.33.altinitystable","IntervalMillisecond",0,""
"23.3.19.33.altinitystable","Int128",0,""
"23.3.19.33.altinitystable","Decimal128",1,""
"23.3.19.33.altinitystable","Int8",0,""
"23.3.19.33.altinitystable","Decimal",1,""
"23.3.19.33.altinitystable","Int256",0,""
"23.3.19.33.altinitystable","DateTime64",1,""
"23.3.19.33.altinitystable","Enum8",0,""
"23.3.19.33.altinitystable","DateTime32",1,""
"23.3.19.33.altinitystable","Date32",1,""
"23.3.19.33.altinitystable","IntervalWeek",0,""
"23.3.19.33.altinitystable","UInt64",0,""
"23.3.19.33.altinitystable","IntervalNanosecond",0,""
"23.3.19.33.altinitystable","IntervalYear",0,""
"23.3.19.33.altinitystable","UInt32",0,""
"23.3.19.33.altinitystable","Float32",0,""
"23.3.19.33.altinitystable","bool",1,"Bool"
"23.3.19.33.altinitystable","INET6",1,"IPv6"
"23.3.19.33.altinitystable","INET4",1,"IPv4"
"23.3.19.33.altinitystable","ENUM",1,"Enum"
"23.3.19.33.altinitystable","BINARY",1,"FixedString"
"23.3.19.33.altinitystable","GEOMETRY",1,"String"
"23.3.19.33.altinitystable","NATIONAL CHAR VARYING",1,"String"
"23.3.19.33.altinitystable","BINARY VARYING",1,"String"
"23.3.19.33.altinitystable","NCHAR LARGE OBJECT",1,"String"
"23.3.19.33.altinitystable","NATIONAL CHARACTER VARYING",1,"String"
"23.3.19.33.altinitystable","boolean",1,"Bool"
"23.3.19.33.altinitystable","NATIONAL CHARACTER LARGE OBJECT",1,"String"
"23.3.19.33.altinitystable","NATIONAL CHARACTER",1,"String"
"23.3.19.33.altinitystable","NATIONAL CHAR",1,"String"
"23.3.19.33.altinitystable","CHARACTER VARYING",1,"String"
"23.3.19.33.altinitystable","LONGBLOB",1,"String"
"23.3.19.33.altinitystable","TINYBLOB",1,"String"
"23.3.19.33.altinitystable","MEDIUMTEXT",1,"String"
"23.3.19.33.altinitystable","TEXT",1,"String"
"23.3.19.33.altinitystable","VARCHAR2",1,"String"
